Book,Author(s),Original language,First published,Approximate sales,Genre
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12 million[158],Unknown
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million[159],Unknown
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11–12 million (during the 20th century)[160],Unknown
The Prophet,Kahlil Gibran,English,1923,11 million[161],Unknown
The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million[162],Unknown
The Exorcist,William Peter Blatty,English,1971,11 million[163],Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million[164],Unknown
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.[135],Erotica
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million[165],Unknown
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million[166],Unknown
Diana: Her True Story,Andrew Morton,English,1992,10 million[167],Unknown
The Help,Kathryn Stockett,English,2009,10 million[168],Unknown
Catch-22,Joseph Heller,English,1961,10 million[169],Unknown
The Stranger (L'Étranger),Albert Camus,French,1942,10 million[170],Unknown
Eye of the Needle,Ken Follett,English,1978,10 million[171],Unknown
The Lovely Bones,Alice Sebold,English,2002,10 million[172],Unknown
Wild Swans,Jung Chang,English,1992,10 million[173],Unknown
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million[174],Unknown
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million[175],Unknown
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 million[176],Unknown
The Total Woman,Marabel Morgan,English,1974,10 million[177],Unknown
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 million[178],Unknown
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million[179],Unknown
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million[180],Unknown
The Dukan Diet,Pierre Dukan,French,2000,10 million[181],Unknown
The Joy of Sex,Alex Comfort,English,1972,10 million[182],Unknown
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million[183],Unknown
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million[184],Unknown
Life of Pi,Yann Martel,English,2001,10 million[185],Unknown
The Giver,Lois Lowry,English,1993,10 million[186],Unknown
The Front Runner,Patricia Nell Warren,English,1974,10 million[187],Unknown
The Goal,Eliyahu M. Goldratt,English,1984,10 million[188],Unknown
Fahrenheit 451,Ray Bradbury,English,1953,10 million[189],Unknown
Angela's Ashes,Frank McCourt,English,1996,10 million[190],Unknown
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925–1929,10 million[191],Unknown
Bridget Jones's Diary,Helen Fielding,English,1996,10 million (as of 2005)[192],Unknown
